gene,cancer_type,stroma,cancer,normal,ccle_m,entrezgene,ReconGeneName
A4GALT,HNSC,4.30132688119835,5.60379955262534,4.87551002245413,4.30259177432603,53947,53947.1
A4GALT,LGG,2.79413264002922,0.866370219277083,1.84311281734054,2.09335704345973,53947,53947.1
A4GALT,LUAD,3.501963573902,2.59579520921327,3.29560067345988,2.65955900388748,53947,53947.1
A4GALT,KIRP,5.42970464087196,4.98153350831711,4.62446345494494,0,53947,53947.1
A4GALT,OV,3.94107100011208,2.38867465798513,2.34473493778336,2.39123181916296,53947,53947.1
A4GALT,LUSC,4.55763757529987,4.61513124680635,3.48548952029011,2.58734386618779,53947,53947.1
A4GALT,KIRC,4.50825444543397,5.04576857103595,4.10711014520466,2.98306827309074,53947,53947.1
A4GALT,BLCA,5.24778549688319,3.33614576381888,5.06167227412992,3.3323454588145,53947,53947.1
A4GALT,GBM,2.69267434284609,1.04234548725485,1.84311281734054,2.09431283340184,53947,53947.1
A4GALT,UCEC,5.92697024956802,3.53590315492141,4.65229196585516,2.38703618707582,53947,53947.1
A4GALT,STAD,3.85177886193465,1.41262788051675,3.43954295033854,1.51816592794089,53947,53947.1
A4GALT,THCA,3.65248722758448,2.23153477609753,2.69106980780419,2.81776730015074,53947,53947.1
A4GALT,ESCA,4.03186609332812,2.76979776770162,3.38160455351302,2.98761492067187,53947,53947.1
A4GALT,BRCA,3.79092591428731,2.15471928798042,3.08157169817413,1.88459135809162,53947,53947.1
A4GALT,PAAD,3.93063788393536,3.29892459493028,3.74204205136934,2.64620031819259,53947,53947.1
A4GALT,PRAD,4.66577513148108,2.39901642799599,4.02938377124504,0.929569805488176,53947,53947.1
A4GALT,CRC,4.57342917341202,0.788115470049284,2.733953697702,1.08216246102675,53947,53947.1
A4GALT,SKCM,3.29910869752399,0.998261130815977,2.12959887072262,0.429926859794499,53947,53947.1
A4GALT,LIHC,3.53832684780714,1.47821985646112,1.69781162268319,2.0338528770263,53947,53947.1
A4GALT,CESC,4.71658365828053,4.3387688033657,4.76086734714499,3.67046570153145,53947,53947.1
A4GNT,PAAD,1.38342824004335,0.640224278406452,0.434857120970839,0.0204595082248666,51146,51146.1
A4GNT,KIRP,0.0951759224346831,0.719014370960388,0.157547055629549,0,51146,51146.1
A4GNT,LGG,0.0505237556464806,0.014382435504333,0.0143143215413531,0.155966313766743,51146,51146.1
A4GNT,GBM,0.0405239497499506,0.0297411661812692,0.0143143215413531,0.100098927750716,51146,51146.1
A4GNT,LIHC,0.109884264773993,0.232112067761407,0.136769152750444,0.039413247184073,51146,51146.1
A4GNT,PRAD,0.0233530107688202,0.00140530069605715,0,0.0785223720997791,51146,51146.1
A4GNT,BLCA,0.0218892799266221,0.0467752840850474,0,0.0295521175155047,51146,51146.1
A4GNT,HNSC,0.0205937253932686,0.034090554893019,0,0.0518929708940863,51146,51146.1
A4GNT,KIRC,0.298417359907243,0.50453212091453,0.127607877448648,0.373652604281723,51146,51146.1
A4GNT,CRC,0.0407602035208168,0.00345946126091464,0,0,51146,51146.1
A4GNT,STAD,1.52684018255419,0.490139528537982,1.02818812744654,0.0220390262785804,51146,51146.1
A4GNT,LUSC,0.0591962541379174,0.0536546130830075,0.117671653547536,0.0633254471260936,51146,51146.1
A4GNT,ESCA,1.01444671480433,0,0.968790072910762,0.0458987826633904,51146,51146.1
A4GNT,THCA,0.0302648399187857,0.0259692472658475,0.0263124877370053,0.0429552846721919,51146,51146.1
A4GNT,CESC,0.034449557442086,0.0343412553452902,0,0.0099583346762737,51146,51146.1
A4GNT,OV,0.0302517109792984,0.0354122838464267,0.111872561152583,0.0660264425291496,51146,51146.1
A4GNT,SKCM,0.0307753923639303,0.0296253246829162,0.0133545022560926,0.1169283850436,51146,51146.1
A4GNT,LUAD,0.18395433490043,0,0.126851494770472,0.0569612206987582,51146,51146.1
A4GNT,UCEC,0.024381621339381,0.0117708493376774,0.0121555014379633,0.0663496142849667,51146,51146.1
A4GNT,BRCA,0.0308910757590616,0.0239459935082375,0.0485262504440957,0.0256791902443338,51146,51146.1
AACS,HNSC,3.89518019342036,4.73220630267644,4.59799767321798,2.72476176585094,65985,65985.1
AACS,CRC,3.40084305295803,4.18314775703006,3.87783915366109,2.91155270644857,65985,65985.1
AACS,PRAD,3.54803287990649,4.4217862603252,3.51725735344911,3.38767772179614,65985,65985.1
AACS,BLCA,3.36532239524102,3.60914047541658,2.86101621910297,2.45884071720595,65985,65985.1
AACS,GBM,2.72277754944885,2.91228646329426,4.78939115136878,2.43144238030454,65985,65985.1
