"","pathway","pval","padj","ES","NES","nMoreExtreme","size","cancer_type"
"1","KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.0431408755674262,0.163866784120828,-0.498908035668775,-1.37593244538145,3924,57,"HNSC"
"2","KEGG_CITRATE_CYCLE_TCA_CYCLE",0.770424502179095,0.913556281789813,-0.320623361742622,-0.799912614884337,63992,28,"HNSC"
"3","KEGG_PENTOSE_PHOSPHATE_PATHWAY",0.98000342030685,0.996535291400229,-0.227195784037036,-0.556207514717582,80226,25,"HNSC"
"4","KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",0.106999962372537,0.267499905931342,-0.561724900886561,-1.33144526912103,8530,21,"HNSC"
"5","KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.140764249159748,0.314867399436277,-0.492229022551644,-1.26723341755971,12019,34,"HNSC"
"6","KEGG_GALACTOSE_METABOLISM",0.996535291400229,0.996535291400229,-0.192565174110564,-0.474410722388089,81972,26,"HNSC"
"7","KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.00287222967803434,0.0221945020575381,-0.706662211201751,-1.67498726954458,228,21,"HNSC"
"8","KEGG_FATTY_ACID_METABOLISM",0.124692727210363,0.294413383691135,-0.482373122298327,-1.27566643817497,10905,41,"HNSC"
"9","KEGG_STEROID_BIOSYNTHESIS",0.251021450459653,0.473976788907547,0.41157139847635,1.15319763680688,5897,16,"HNSC"
"10","KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",0.00865291611115468,0.0525355621034391,-0.712928084804069,-1.60282546198061,661,16,"HNSC"
"11","KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.0013051189666135,0.0138668890202684,-0.600977191178592,-1.63166334806189,116,50,"HNSC"
"12","KEGG_OXIDATIVE_PHOSPHORYLATION",0.00321027287319422,0.0227394328517924,-0.498492708647855,-1.46792916974637,311,118,"HNSC"
"13","KEGG_PURINE_METABOLISM",0.836751435602953,0.924638724954274,0.209870167473917,0.88168023554768,3059,104,"HNSC"
"14","KEGG_PYRIMIDINE_METABOLISM",0.00811202317720908,0.0525355621034391,0.416293920990251,1.53794288211615,83,50,"HNSC"
"15","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.916095161519179,0.961334428754694,-0.264133707744823,-0.673224055787211,77475,32,"HNSC"
"16","KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.840733187840626,0.924638724954274,-0.294855468493062,-0.74407593630942,70497,30,"HNSC"
"17","KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0.185982117104125,0.395211998846265,0.367954823613435,1.18656294435358,3223,27,"HNSC"
"18","KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.566720248070499,0.789692148950696,-0.357886186615759,-0.949952438025986,49710,42,"HNSC"
"19","KEGG_LYSINE_DEGRADATION",0.990927477607628,0.996535291400229,-0.208178511646736,-0.544608108805395,85739,38,"HNSC"
"20","KEGG_ARGININE_AND_PROLINE_METABOLISM",0.0978303133991757,0.251987170876665,-0.473915552621078,-1.292646519712,8805,52,"HNSC"
"21","KEGG_HISTIDINE_METABOLISM",0.0737874550038255,0.209064455844172,-0.582916785024785,-1.38167596716391,5882,21,"HNSC"
"22","KEGG_TYROSINE_METABOLISM",0.0106186573219346,0.060172391490963,-0.604043224053895,-1.54800757168191,902,33,"HNSC"
"23","KEGG_PHENYLALANINE_METABOLISM",0.128682717695344,0.295622459570385,-0.584485286815445,-1.31405666269733,9844,16,"HNSC"
"24","KEGG_TRYPTOPHAN_METABOLISM",0.850284299875071,0.924638724954274,-0.2877660494737,-0.743780392939812,72825,35,"HNSC"
"25","KEGG_BETA_ALANINE_METABOLISM",0.789897228277795,0.913556281789813,-0.324947673982459,-0.776883266044558,63408,22,"HNSC"
"26","KEGG_GLUTATHIONE_METABOLISM",0.0137348745869542,0.0729665212431943,-0.595918650130871,-1.52718637636227,1167,33,"HNSC"
"27","KEGG_STARCH_AND_SUCROSE_METABOLISM",0.262081283278291,0.473976788907547,-0.425763317192773,-1.14733286329711,23330,47,"HNSC"
"28","KEGG_O_GLYCAN_BIOSYNTHESIS",0.339585124677558,0.577294711951849,0.340038267841164,1.0629844137409,6318,24,"HNSC"
"29","KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.460060701822191,0.724169623238635,-0.381835868115476,-1.01673453159638,40471,43,"HNSC"
"30","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",0.00172794470576942,0.01468752999904,0.650247069873164,1.93926548535809,35,20,"HNSC"
"31","KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.0542718665464382,0.177427256017202,0.444709033332239,1.42085695065421,962,26,"HNSC"
"32","KEGG_GLYCEROLIPID_METABOLISM",0.498701005308935,0.730854921573439,-0.370686941960383,-0.993255497550622,44149,45,"HNSC"
"33","KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.281774462655805,0.488792435219254,0.290580346629142,1.07889137951171,2870,51,"HNSC"
"34","KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",0.0957752363047679,0.251987170876665,0.431369982614305,1.33425511798702,1833,23,"HNSC"
"35","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.485357205393101,0.730854921573439,-0.362451389959929,-1.00383341229231,44349,59,"HNSC"
"36","KEGG_ETHER_LIPID_METABOLISM",0.00167764837462618,0.01468752999904,-0.688913191493425,-1.69723215191251,137,26,"HNSC"
"37","KEGG_ARACHIDONIC_ACID_METABOLISM",1.11342455991894e-05,0.000206666828758297,-0.681475560181795,-1.85451849997695,0,51,"HNSC"
"38","KEGG_LINOLEIC_ACID_METABOLISM",1.21568722798998e-05,0.000206666828758297,-0.806205433812015,-1.98619768093871,0,26,"HNSC"
"39","KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",0.0242072517188194,0.108295599794719,-0.674323868378066,-1.5160343503015,1851,16,"HNSC"
"40","KEGG_SPHINGOLIPID_METABOLISM",0.883474698185083,0.93869186682165,-0.27398997297657,-0.719395524105295,76765,39,"HNSC"
"41","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.20505961106225,0.425123583909542,-0.496722308875541,-1.21604668896236,16786,25,"HNSC"
"42","KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.492394343035685,0.730854921573439,0.350194752412456,0.963743479158356,11976,15,"HNSC"
"43","KEGG_PYRUVATE_METABOLISM",0.415764229991332,0.66679168960874,-0.399572587466754,-1.0453070754969,35973,38,"HNSC"
"44","KEGG_PROPANOATE_METABOLISM",0.606454151908697,0.822792610103409,-0.364104354356613,-0.918827416587691,50852,30,"HNSC"
"45","KEGG_BUTANOATE_METABOLISM",0.0674100174998818,0.197581085775516,-0.538079004638663,-1.37145589228146,5700,32,"HNSC"
"46","KEGG_ONE_CARBON_POOL_BY_FOLATE",0.149046646237657,0.324845254620535,0.456226320040175,1.2783179688072,3501,16,"HNSC"
"47","KEGG_RIBOFLAVIN_METABOLISM",0.260241026847568,0.473976788907547,-0.523849403540803,-1.17773332280676,19909,16,"HNSC"
"48","KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.775025398537546,0.913556281789813,-0.331901533069829,-0.78669954869792,61791,21,"HNSC"
"49","KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",0.52281239359891,0.742490397591612,0.337606142707934,0.945951558790464,12283,16,"HNSC"
"50","KEGG_RETINOL_METABOLISM",1.11342455991894e-05,0.000206666828758297,-0.718206006712741,-1.95447409132036,0,51,"HNSC"
"51","KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",0.0345962577367536,0.140032471791622,-0.574029901683985,-1.44858034598455,2900,30,"HNSC"
"52","KEGG_NITROGEN_METABOLISM",0.387876764003809,0.634029325775458,-0.443489050722164,-1.0693606742334,31360,23,"HNSC"
"53","KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",1.11858074475106e-05,0.000206666828758297,-0.73056669004514,-1.97817779987706,0,49,"HNSC"
"54","KEGG_DRUG_METABOLISM_CYTOCHROME_P450",1.12078724095805e-05,0.000206666828758297,-0.79252744985552,-2.14123720687887,0,48,"HNSC"
"55","KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.092098703888335,0.251987170876665,-0.490963136215056,-1.31145974751961,8128,44,"HNSC"
"56","KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0.0447886351304691,0.163866784120828,0.490417363075125,1.48160867871305,907,21,"HNSC"
"57","KEGG_ABC_TRANSPORTERS",0.800668442216304,0.913556281789813,0.258427383380799,0.799332528457647,15331,23,"HNSC"
"58","KEGG_PPAR_SIGNALING_PATHWAY",0.0187645805862664,0.0886105194351467,-0.547676696345742,-1.47140975694667,1664,46,"HNSC"
"59","KEGG_CALCIUM_SIGNALING_PATHWAY",0.637051017942019,0.839300989857021,-0.344341927929322,-0.904113530225158,55353,39,"HNSC"
"60","KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.656185327797915,0.845087164588224,-0.370356133749456,-0.877847717614805,52316,21,"HNSC"
"61","KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",0.64181840400831,0.839300989857021,0.240638238918917,0.927311858231477,5251,62,"HNSC"
"62","KEGG_LYSOSOME",0.235792349726776,0.46610115643665,0.303843801302265,1.11030123505656,2588,47,"HNSC"
"63","KEGG_PEROXISOME",0.0602579447197396,0.182925903613495,-0.49992530074979,-1.35366304680411,5386,49,"HNSC"
"64","KEGG_CARDIAC_MUSCLE_CONTRACTION",0.0600853445902542,0.182925903613495,-0.519366380786745,-1.36854856936529,5237,40,"HNSC"
"65","KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.0462682684576456,0.163866784120828,-0.554456201488566,-1.41319809542491,3912,32,"HNSC"
"66","KEGG_VEGF_SIGNALING_PATHWAY",0.222156362272733,0.449602161742435,-0.483239906719994,-1.19799518708877,18364,27,"HNSC"
"67","KEGG_GAP_JUNCTION",0.483700624787598,0.730854921573439,-0.445690499543995,-1.00201422283469,37005,16,"HNSC"
"68","KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.0490085264270094,0.166628989851832,-0.586686034226704,-1.42568110562921,3988,24,"HNSC"
"69","KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.795154051798178,0.913556281789813,-0.314136419911509,-0.778772435616217,65732,27,"HNSC"
"70","KEGG_LONG_TERM_DEPRESSION",0.0309799445622045,0.131664764389369,-0.624973007237597,-1.48136098738284,2469,21,"HNSC"
"71","KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.752511065713313,0.913556281789813,0.287943875470063,0.806800953502533,17680,16,"HNSC"
"72","KEGG_INSULIN_SIGNALING_PATHWAY",0.249361490800738,0.473976788907547,-0.458611450041117,-1.16890897062412,21088,32,"HNSC"
"73","KEGG_GNRH_SIGNALING_PATHWAY",0.118080470010354,0.28676685573943,-0.522564299367576,-1.30372837737217,9807,28,"HNSC"
"74","KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",0.720093743631547,0.913551764308679,-0.356138400392886,-0.82784624375522,56535,19,"HNSC"
