"pathway","pval","padj","ES","NES","nMoreExtreme","size","cancer_type"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.172393517854582,0.536635522474587,-0.394317670821747,-1.21136391691906,12020,57,"HNSC"
"KEGG_CITRATE_CYCLE_TCA_CYCLE",0.851373334167553,0.981807201427034,-0.273837151842996,-0.738890492417082,54429,28,"HNSC"
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",0.838812674188922,0.981807201427034,0.262466432780825,0.766089846077282,30999,25,"HNSC"
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",0.476987010271556,0.79211887723665,0.34988771684042,0.977368405282408,18249,21,"HNSC"
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.904460356644536,0.981807201427034,-0.251490928005893,-0.704733260645,58987,34,"HNSC"
"KEGG_GALACTOSE_METABOLISM",0.740561788551306,0.953753818588803,0.281737651568127,0.830354026179365,27128,26,"HNSC"
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.183087413550153,0.536635522474587,-0.491444135253465,-1.24653693185966,11303,21,"HNSC"
"KEGG_FATTY_ACID_METABOLISM",0.0209185584775605,0.177807747059264,-0.523348399259933,-1.51909029739066,1395,41,"HNSC"
"KEGG_STEROID_BIOSYNTHESIS",0.534998757146408,0.826816261044449,0.361071366110619,0.938740028386209,21522,16,"HNSC"
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",0.0299805929197618,0.212362533181646,-0.646408508310245,-1.54218927552367,1791,16,"HNSC"
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.134453514595178,0.457141949623606,0.358181207121738,1.22243607908726,4232,50,"HNSC"
"KEGG_OXIDATIVE_PHOSPHORYLATION",0.527966079851535,0.826816261044449,-0.283830772626892,-0.968965795864974,40966,118,"HNSC"
"KEGG_PURINE_METABOLISM",0.202311897508659,0.561929220562704,0.286688265599134,1.1138402394047,4847,104,"HNSC"
"KEGG_PYRIMIDINE_METABOLISM",0.0638122161166344,0.32333983844186,0.391468486894867,1.33604218393104,2008,50,"HNSC"
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.563215127338804,0.827742768797213,0.301266943654838,0.93231908346022,19836,32,"HNSC"
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.636795636036441,0.887338181362254,0.293313134839209,0.893429632936098,22646,30,"HNSC"
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0.220944309927361,0.568620195448397,0.393446636141515,1.17113685589264,8029,27,"HNSC"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.105770380109969,0.390890535189016,-0.449016702633929,-1.30887932370558,7078,42,"HNSC"
"KEGG_LYSINE_DEGRADATION",0.963622326172851,0.986842141261353,-0.223585094578641,-0.639656086768123,63653,38,"HNSC"
"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.291545949704485,0.58001385005128,-0.367276735444401,-1.11152149269131,20125,52,"HNSC"
"KEGG_HISTIDINE_METABOLISM",0.00294779805963622,0.0408337396392004,-0.688332249591843,-1.74593917997157,181,21,"HNSC"
"KEGG_TYROSINE_METABOLISM",0.00047676171142075,0.0135082484902546,-0.658277518033213,-1.83421934520321,30,33,"HNSC"
"KEGG_PHENYLALANINE_METABOLISM",0.00336277855852238,0.0408337396392004,-0.729778877895516,-1.74109273706217,200,16,"HNSC"
"KEGG_TRYPTOPHAN_METABOLISM",0.0782129742962056,0.325514853493735,-0.48599612589607,-1.36881031068465,5111,35,"HNSC"
"KEGG_BETA_ALANINE_METABOLISM",0.24410945225556,0.568620195448397,-0.460784887007921,-1.18135723321227,15156,22,"HNSC"
"KEGG_GLUTATHIONE_METABOLISM",0.249542595769011,0.568620195448397,0.363569188382335,1.13336512525942,8728,33,"HNSC"
"KEGG_STARCH_AND_SUCROSE_METABOLISM",0.819363566849009,0.981807201427034,-0.264770165817594,-0.787483108399474,55719,47,"HNSC"
"KEGG_O_GLYCAN_BIOSYNTHESIS",0.0746351965552986,0.325514853493735,-0.535963529893089,-1.3999059520734,4679,24,"HNSC"
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.89729560498539,0.981807201427034,-0.247875058854281,-0.72532417384582,60186,43,"HNSC"
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",0.176531591091753,0.536635522474587,0.450404321101507,1.24128456621149,6808,20,"HNSC"
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.935604509595174,0.981807201427034,0.23167167902142,0.682796602997356,34273,26,"HNSC"
"KEGG_GLYCEROLIPID_METABOLISM",0.224111855761817,0.568620195448397,-0.397595293134568,-1.17269272263848,15114,45,"HNSC"
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.927088316907473,0.981807201427034,0.218684177234106,0.749530115806304,29066,51,"HNSC"
"KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS",0.0123715719329917,0.116842623811589,0.58153762627436,1.66330566236066,465,23,"HNSC"
"KEGG_GLYCEROPHOSPHOLIPID_METABOLISM",0.433721013200143,0.750398179749716,-0.328706921961819,-1.01590190958135,30392,59,"HNSC"
"KEGG_ETHER_LIPID_METABOLISM",0.068471965787688,0.32333983844186,-0.5295949114065,-1.40772562799368,4338,26,"HNSC"
"KEGG_ARACHIDONIC_ACID_METABOLISM",0.00109251409343181,0.0185727395883407,-0.5723447922474,-1.7247315422915,74,51,"HNSC"
"KEGG_LINOLEIC_ACID_METABOLISM",0.000899493443166217,0.0185727395883407,-0.682532576200019,-1.81425194759816,56,26,"HNSC"
"KEGG_ALPHA_LINOLENIC_ACID_METABOLISM",0.256859399049722,0.568620195448397,-0.495186365308987,-1.18140632765084,15352,16,"HNSC"
"KEGG_SPHINGOLIPID_METABOLISM",0.293418771202412,0.58001385005128,-0.389469989365813,-1.1197675450598,19460,39,"HNSC"
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.484590371956539,0.79211887723665,-0.374009623275385,-0.985442501644199,30550,25,"HNSC"
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES",0.866574728495087,0.981807201427034,0.277502793454953,0.708791512713911,35188,15,"HNSC"
"KEGG_PYRUVATE_METABOLISM",0.808695520535295,0.981807201427034,-0.274099928122749,-0.784174310621379,53419,38,"HNSC"
"KEGG_PROPANOATE_METABOLISM",0.377013563425308,0.681833040237259,-0.387683661526052,-1.0608252209767,24293,30,"HNSC"
"KEGG_BUTANOATE_METABOLISM",0.28088482734135,0.58001385005128,-0.409112743860644,-1.13313061822216,18195,32,"HNSC"
"KEGG_ONE_CARBON_POOL_BY_FOLATE",0.123191648023863,0.436303753417847,0.513792361206691,1.33579536073215,4955,16,"HNSC"
"KEGG_RIBOFLAVIN_METABOLISM",0.926939034999665,0.981807201427034,-0.265279899344577,-0.632899800237238,55404,16,"HNSC"
"KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM",0.260896324970441,0.568620195448397,-0.459892139242031,-1.1665060077306,16107,21,"HNSC"
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",0.982948048719861,0.994539394369194,0.209914669445215,0.545751674734884,39543,16,"HNSC"
"KEGG_RETINOL_METABOLISM",0.00039330507363545,0.0135082484902546,-0.594479326781338,-1.79143282166319,26,51,"HNSC"
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",0.715276700083802,0.942110790233657,-0.30592541605837,-0.837108780429481,46090,30,"HNSC"
"KEGG_NITROGEN_METABOLISM",0.367350731409457,0.678800264560952,0.368872945261839,1.05504516100943,13836,23,"HNSC"
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0.0372409753240097,0.233578559613827,-0.479936549316036,-1.43677749684541,2542,49,"HNSC"
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.000308098591549296,0.0135082484902546,-0.60983973805262,-1.82015988778926,20,48,"HNSC"
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.546654042332244,0.827742768797213,0.284915958154275,0.948154630412439,17897,44,"HNSC"
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0.0804213167455111,0.325514853493735,0.498379141056477,1.39216097872492,3076,21,"HNSC"
"KEGG_ABC_TRANSPORTERS",0.919002165717494,0.981807201427034,-0.257230340805927,-0.665639521051768,57285,23,"HNSC"
"KEGG_PPAR_SIGNALING_PATHWAY",0.0384717627599244,0.233578559613827,-0.485353817712107,-1.43764774172406,2604,46,"HNSC"
