"","pathway","pval","padj","ES","NES","nMoreExtreme","size","logpadj"
"1","KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.820901294994732,0.89820808862787,-0.253561106395252,-0.777638536293372,61551,57,-0.0466230383062222
"2","KEGG_CITRATE_CYCLE_TCA_CYCLE",0.00315786337772217,0.0219971555793663,0.564427158802702,1.76812905717596,105,28,1.65763347354372
"3","KEGG_PENTOSE_PHOSPHATE_PATHWAY",0.355625627060341,0.530318917546123,0.348541896993184,1.05960485827513,12405,25,0.275462880444414
"4","KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",0.305565306618421,0.490057567218223,0.382145554252213,1.10825256337194,11315,21,0.309752900263914
"5","KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.986752255479682,0.995868549671914,-0.19900721108322,-0.556723428925048,67482,34,-0.00179798278077962
"6","KEGG_GALACTOSE_METABOLISM",0.658610916405083,0.746425705259094,-0.324309438311826,-0.862849002528891,43221,26,-0.127013412857547
"7","KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.995868549671914,0.995868549671914,0.173518105273672,0.503216334250668,36879,21,0.00179798278077962
"8","KEGG_FATTY_ACID_METABOLISM",0.940394547455762,0.974799226021216,-0.225846717771274,-0.655150286019452,66641,41,-0.0110848243117371
"9","KEGG_STEROID_BIOSYNTHESIS",0.10919410896907,0.226378030789535,0.508725905019487,1.36087836577777,4366,16,0.645165722226822
"10","KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",0.0232631771900882,0.0794317915003522,-0.663599230765472,-1.59060401268118,1395,16,-1.10000564228577
"11","KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.485038445254777,0.588975254952229,-0.329248237271006,-0.987697776792616,35514,50,-0.229902951161033
"12","KEGG_OXIDATIVE_PHOSPHORYLATION",6.51253663301856e-05,0.000922609356344296,0.497774229887001,2.11084386117896,0,118,3.03498214544844
"13","KEGG_PURINE_METABOLISM",0.350231303006939,0.530318917546123,-0.321050208019381,-1.07017573350063,29071,104,-0.275462880444414
"14","KEGG_PYRIMIDINE_METABOLISM",0.370673238489974,0.536229041260512,0.28719848033072,1.03667009062982,9926,50,0.270649669059505
"15","KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.312866494989296,0.492475038409077,0.334517279118157,1.08524628094988,10083,32,0.307615777259624
