"pathway","pval","padj","ES","NES","nMoreExtreme","size","cancer_type"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.0109962680263542,0.0445087039161955,-0.48840117637384,-1.54270905431845,715,57,"HNSC"
"KEGG_CITRATE_CYCLE_TCA_CYCLE",0.0278254672670144,0.0808516392931977,-0.54936449461281,-1.51376510748235,1717,28,"HNSC"
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",0.194566729400213,0.300694036345783,-0.453610774460048,-1.21838478571147,11888,25,"HNSC"
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",0.000181731071056849,0.00154471410398321,-0.741107137670585,-1.9103351959647,10,21,"HNSC"
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.854964891468146,0.908400197184905,-0.264153216525428,-0.757018283476055,53330,34,"HNSC"
"KEGG_GALACTOSE_METABOLISM",0.233265248080254,0.336060103166468,0.400320450024406,1.1607989085112,9021,26,"HNSC"
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",0.000462588180871979,0.00302461502877832,-0.724574474428419,-1.86771932186341,27,21,"HNSC"
"KEGG_FATTY_ACID_METABOLISM",0.00198048038532226,0.0111675939243547,-0.575423941536683,-1.70948392743948,124,41,"HNSC"
"KEGG_STEROID_BIOSYNTHESIS",0.576431788123818,0.690094394232739,-0.381919530549019,-0.922416707536241,34431,16,"HNSC"
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",0.691443590645037,0.794225746011191,-0.347999257641899,-0.840492050766952,41301,16,"HNSC"
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",1.55202383908617e-05,0.000220919231928807,-0.661685106070615,-2.04282435139617,0,50,"HNSC"
"KEGG_OXIDATIVE_PHOSPHORYLATION",1.42967432018986e-05,0.000220919231928807,-0.570179584207192,-2.01336052429088,0,118,"HNSC"
"KEGG_PURINE_METABOLISM",0.00205767932353792,0.0111675939243547,0.411065492075682,1.56058722759287,63,104,"HNSC"
"KEGG_PYRIMIDINE_METABOLISM",0.0262018554962047,0.0795413470420499,0.437671588750336,1.46143673689449,931,50,"HNSC"
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.272563583164528,0.379801714245654,-0.400565352676224,-1.13429654661063,16953,32,"HNSC"
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.0335132340109233,0.0837830850273083,-0.531433626019751,-1.48498704023077,2073,30,"HNSC"
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0.334692605386873,0.437674945505911,0.367127511198219,1.07373626985639,12885,27,"HNSC"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.00210213532693736,0.0111675939243547,-0.571200646615833,-1.70532362714639,132,42,"HNSC"
